,SDSME names,New proposed names,Parameters,Function,Notes
029D,,,,,
029E,,,,,
029F,,,,,
02A0,,,,,
02A1,,,,,
02A2,,,,,
02A3,,,,,
02A4,,,,,
02A5,,,,,
02A6,,,,,
02A7,,,,,
02A8,,,,,
02A9,,,,,
02AA,,,,,
02AB,,GetBattleOutcome,Var: Variable,Stores the result of the last battle Variable,"Values are:
1: Battle won
2: Battle lost
3: Tie
4: Wild mon was caught
5: You escaped
6: Wild mon escaped"
02AC,,GetCurrentWeather,Var: Variable,Stores the current weather in Variable,
02AD,,GetPlayerPositionFull,Var: X; Var: Z; Var: Y,"Saves the current player position in X, Z, and Y.",Mind the param order. Z is the elevation.
02AE,,WildBattleFateful,Flex: Pokémon; Flex: Level,Starts a static encounter battle against a Pokémon of predefined Level,"The difference between this and WildBattle is that the wild mon has a special ""distribution mon"" (fateful encounter) flag enabled."
02AF,,RegisterSeenPokemon,Flex: Pokémon,Marks Pokémon in the Pokédex as seen if it hasn't been caught,
02B0,,,,,
02B1,,,,,
02B2,,,,,
02B3,,,,,
02B4,,,,,
02B5,,,,,
02B6,,,,,
02B7,,,,,
02B8,,,,,
02B9,,,,,
02BA,,,,,
02BB,,,,,
02BC,CheckWildBattle2,,,,
02BD,WildBattle2,,,,
02BE,,,,,
02BF,,SetFieldVolume,Flex: Volume,Sets PLAYER_FIELD's Volume to passed value.,0 to 127 only.
02C0,,,,,
02C1,,,,,
02C2,,,,,
02C3,,,,,
02C4,,FloorTrapAnimation,,Triggers Team Rocket HQ trap-floor's graphical effect in the player's current position,
02C5,,,,,
02C6,,,,,
02C7,,TalkFollowingPoke,-,"The following Pokémon triggers a random movement, and then a random following message","This seems to be the command that executes when the player talks to the following Pokémon (at script #163). Files in a/2/2/0.narc link map names to possible texts. The following Pokémon ends up locked, so a Release should be used after this command."
02C8,,,,,
02C9,,,,,
02CA,,,,,
02CB,,SetDayCareOverworlds,-,"Deletes the Pokémon overworlds in the Pokémon Day Care, then adds new Pokémon overworlds based on the Pokémon stored in the Day Care",The overworlds use IDs 0xFA and 0xFB. This script command is called in the Day Care screen-reload level script.
02CC,,,,,
02CD,,,,,
02CE,,,,,
02CF,,,,,
02D0,,,,,
02D1,,,,,
02D2,,,u8: ???; u8: ???; u16: ???; u16: ???; u16: ???,???,
02D3,,,,,
02D4,,,,,
02D5,,,,,
02D6,,,,,
02D7,,,Var: Variable,???,
02D8,,,u8: ???; u8: ???,???,
02D9,,CheckAlivePokemon,Var: Variable,"Checks if player has at least 1 not fainted Pokémon, stores the result in Variable",Predicted.
02DA,,CheckFollowingPoke,Var: Variable,"Checks if player has a following Pokémon, stores the result in Variable",Supposed.
02DB,,,-,???,
02DC,,,u8: ???,???,
02DD,,,u8: ???; Var: ???,???,
02DE,,,,,
02DF,,,,,
02E0,,,,,
02E1,,,,,
02E2,,,,,
02E3,,,,,
02E4,,,,,
02E5,,,,,
02E6,,,,,
02E7,,,,,
02E8,,,,,
02E9,,,,,
02EA,OpenLowScreen,OpenTouchScreen,-,Changes the low screen design to the green Pokéball background,
02EB,CloseLowScreen,CloseTouchScreen,-,Sets the default low screen design,
02EC,OpenLowYesNoBox,YesNoTouchScreen,Var: Variable,"Opens a Yes-No selection, stores player's answer in Variable",Crashes if OpenTouchScreen is not used previously.
02ED,Multi4,MultiTouchStandardText,u8: X; u8: Y; u8: ???; u8: ???; Var: Selection,"Prepares a multiple selection menu with text bank #191, returns selected slot ID in Selection",The X and Y parameters seem to have no effect.
02EE,Multi5,MultiTouchLocalText,u8: X; u8: Y; u8: ???; u8: ???; Var: Selection,"Prepares a multiple selection menu with local texts, returns selected slot ID in Selection",The X and Y parameters seem to have no effect.
02EF,TextScriptMulti4,CreateMultiTouchBox,Flex: Text Slot; Flex: ???; Flex: Multi Box Slot,Adds a box with Multi Box Slot ID showing Text Slot text,
02F0,CloseMulti4,CloseMultiTouch,-,Closes the multiple selection boxes,
02F1,,,Flex: ???; Var: ???; Var: ???,???,
02F2,,,Var: ???,???,
02F3,,,,,
02F4,,,,,
02F5,,,,,
02F6,,,,,
02F7,,,,,
02F8,,,,,
02F9,,,,,
02FA,,,,,
02FB,,,,,
02FC,,,,,
02FD,,,,,
02FE,,,,,
02FF,,,-,???,
0300,,,,,
0301,,,,,
0302,,,,,
0303,,,,,
0304,,,,,
0305,,,,,
0306,,,,,
0307,,,,,
0308,,,,,
0309,,,,,
030A,,,-,???,
030B,,,,,
030C,,,,,
030D,,,,,
030E,,,-,???,Related with the mart interface.
030F,,,,,
0310,,OverlayManager,u8: Table Index; u8: Operation ID,"Loads (Operation ID 0) or unloads (Operation ID 1) one of the overlays in the preset table, based on the Table Index.","Table indices
0: Overlay 20
1: Overlay 24
2: Overlay 21
3: Overlay 22
4: Overlay 25

Indices greater than 4 will do nothing.
Loading an already loaded overlay or unloading an already unloaded overlay will do nothing, either."
0311,,,,,
0312,,,,,
0313,,,,,
0314,,,,,
0315,,,,,
0316,,,,,
0317,,,,,
0318,,,-,,
0319,TakeMomMoney,,,,
031A,GiveMomMoney,,,,
031B,OpenMomMoneyBox,ShowMomMoney,Flex: X; Flex: Y ,Shows mom savings money box at X and Y coordinates of the screen,
031C,CloseMomMoneyBox,HideMomMoney,-,Hides mom savings money box,
031D,,,,,
031E,,,,,
031F,,,,,
0320,,,,,
0321,,,,,
0322,,,,,
0323,,,,,
0324,,,,,
0325,,,,,
0326,,,,,
0327,,,,,
0328,,,,,
0329,,,,,
032A,,,,,
032B,,,,,
032C,,,,,
032D,,,,,
032E,,,,,
032F,,,,,
0330,,,,,
0331,,,,,
0332,,,,,
0333,,,,,
0334,,,,,
0335,,,,,
0336,,,,,
0337,,,,,
0338,,,,,
0339,,,,,
033A,,,,,
033B,,,,,
033C,,,,,
033D,,,Var: ???,???,
033E,,,,,
033F,,,,,
0340,,,,,
0341,,,,,
0342,,,Var: Variable,???,
0343,,,Var: Variable,???,
0344,,CheckJadeOrbRequirements,Var: Variable,"Stores 1 in Variable if player has both Kyogre and Groudon in the Pokémon party and they have been caught in Johto, stores 0 otherwise",
0345,,,Var: Variable,???,
0346,CheckMomMoneyNumber,CheckMoneyFull,u16: Money Account; Var: Variable,"Stores 1 in Variable if the chosen money account is full. 
Money account 0 = Mom's savings;
Money account 1 = Player;",
0347,,SetLidCloseSleep,,,Seems to set a flag for the lid of the DS putting to sleep or not
0348,,,,,
0349,,,,,
034A,,,,,
034B,,TextItemLowercase,u8: String Buffer; Flex: Item,Stores Item's lowercase name in String Buffer,International release exclusive.
034C,,TextItemPlural,u8: String Buffer; Flex: Item,Stores Item's plural noun in String Buffer,International release exclusive.
034D,,TextPartyPokemonDefault,u8: String Buffer; Flex: Party position,Stores the name of the Pokémon in Party Position in String Buffer with default color tags encoding,International release exclusive. Names stored at text file 238.
034E,,,,,International release exclusive.
034F,,TextDPPtStarterSpecies,u8: String Buffer,???,International release exclusive.
0350,,TextFashionItem,u8: String Buffer; Flex: Accesory,???,International release exclusive.
0351,,TextTrainerClass,u8: String Buffer; Flex: Trainer class,Stores Trainer class' lowercase noun in String Buffer,International release exclusive.
0352,,TextSealPlural,u8: String Buffer; Flex: Seal,Stores Seal's plural noun in String Buffer,International release exclusive.
0353,,TextCapitalize,u8: String Buffer,Capitalizes the string currently stored in String Buffer,International release exclusive.
0354,,TextDptStoreFloor,u8: String Buffer; u8: Floor,Stores Floor's name in String Buffer,"International release exclusive. Names stored at text file 191, lines 0x74 to 0x7A."
